Invluokka,feaMed1,feaMed2,feaMed3,feaMed4,feaMed5,feaMed6,feaMed7,feaMed8,suoMod
263,53.0,172.0,241.0,140.0,172.0,169.0,59.0,33.0,0.0
251,49.0,173.0,243.0,140.0,173.0,162.0,91.0,29.0,0.0
251,46.0,171.0,243.0,139.0,171.0,163.0,85.0,29.0,0.0
252,47.0,174.0,243.0,138.0,171.0,161.0,72.5,28.0,0.0
242,43.0,154.0,245.0,133.0,167.0,162.0,51.5,18.0,0.0
241,43.0,139.0,245.0,131.0,158.0,147.0,50.0,21.0,0.0
241,44.0,143.0,244.0,129.0,158.5,150.0,53.0,13.0,0.0
242,43.0,149.0,244.0,133.0,162.5,158.0,61.5,25.5,0.0
241,45.0,138.0,244.0,126.0,154.0,149.0,3.0,12.0,0.0
241,44.0,133.5,244.0,126.0,152.0,144.0,8.0,9.0,0.0
241,47.0,139.0,244.0,125.0,157.0,145.0,14.0,14.0,0.0
251,47.0,170.0,243.0,136.0,174.0,168.0,99.0,24.0,0.0
251,45.0,168.5,243.0,136.0,171.5,159.5,83.5,27.0,0.0
263,54.5,164.5,241.0,137.0,172.0,162.5,99.0,36.0,0.0
263,53.0,164.0,243.0,135.0,175.0,163.0,77.0,35.0,0.0
252,51.0,162.0,243.0,134.0,173.0,160.0,95.0,25.0,0.0
263,50.0,162.0,242.0,134.0,172.0,160.0,84.0,27.0,0.0
251,49.5,176.0,241.0,140.0,174.0,165.0,80.5,22.5,0.0
263,48.0,166.5,242.5,135.5,171.0,158.5,90.5,23.0,0.0
263,45.0,159.0,244.0,132.5,170.0,157.0,82.5,20.5,0.0
251,45.0,169.0,241.0,139.0,173.0,162.0,70.0,21.0,0.0
251,47.0,170.0,242.0,139.0,173.0,160.0,83.0,24.0,0.0
252,47.0,165.0,243.0,135.0,173.0,159.0,87.0,25.0,0.0
251,45.0,166.0,242.0,137.0,172.0,161.0,90.0,19.0,0.0
252,47.0,176.0,243.0,141.0,174.0,163.0,117.0,32.0,0.0
263,47.0,173.0,243.0,138.0,173.0,167.0,98.0,25.0,0.0
252,45.0,171.0,243.0,140.0,175.0,162.0,97.0,24.0,0.0
242,47.0,144.0,244.0,131.0,156.0,153.0,0.0,18.0,0.0
241,46.0,126.0,241.5,134.0,141.5,132.0,0.0,12.0,0.0
241,44.0,141.0,244.0,131.0,150.0,144.0,0.0,20.0,0.0
242,46.0,152.0,243.0,132.0,157.0,157.0,0.0,17.0,0.0
232,29.0,148.5,243.0,134.0,150.0,156.0,98.5,13.0,0.0
251,29.0,160.0,240.0,136.0,159.0,189.0,24.0,23.0,1.0
241,29.0,150.0,242.0,135.0,150.0,167.0,93.0,14.0,0.0
251,29.0,160.0,241.0,138.0,163.0,194.0,49.0,27.0,1.0
242,29.0,154.0,242.0,134.0,155.0,168.0,110.0,7.0,0.0
242,37.0,168.0,241.0,139.0,165.0,182.0,74.0,12.0,1.0
242,35.0,160.0,242.0,137.0,164.0,182.0,77.0,11.0,1.0
104,37.0,125.5,240.0,141.0,132.0,128.0,22.5,14.0,0.0
241,31.0,155.0,243.0,135.0,155.0,168.0,89.0,14.0,0.0
104,33.0,129.0,243.0,141.0,145.0,148.0,70.0,6.0,0.0
241,16.0,140.0,243.0,131.0,143.0,143.0,17.0,11.0,0.0
232,31.0,145.0,242.0,133.0,149.0,165.0,87.0,6.0,0.0
241,31.0,148.0,242.0,133.0,149.0,165.0,87.0,6.0,0.0
242,34.0,151.0,243.0,135.0,157.0,159.0,109.0,10.0,0.0
241,33.0,144.0,243.0,132.0,149.0,154.5,76.0,7.5,0.0
263,50.0,167.0,243.0,139.0,169.0,167.0,0.0,22.0,0.0
241,36.0,149.0,241.0,134.0,154.0,157.0,83.0,15.0,0.0
232,35.0,151.0,241.0,135.0,153.0,156.0,83.0,15.0,0.0
232,31.0,141.0,242.0,134.0,146.5,152.5,80.5,11.0,0.0
242,34.5,153.0,242.0,133.0,155.5,165.0,98.0,11.5,0.0
241,33.0,149.0,243.0,133.0,153.0,159.0,75.0,15.0,0.0
242,35.0,150.0,242.0,138.0,154.0,162.5,74.0,14.5,0.0
430,4.0,142.0,238.0,136.0,108.0,150.0,0.0,1.0,0.0
430,14.0,142.5,238.5,129.0,110.0,153.5,19.0,1.0,0.0
430,3.0,145.0,240.0,135.0,115.0,181.0,0.0,1.0,0.0
430,11.0,141.0,242.0,132.0,127.0,139.0,9.0,1.0,0.0
430,5.0,142.0,240.0,130.0,120.0,118.0,0.0,1.0,0.0
430,3.0,144.0,241.0,137.0,115.0,188.0,0.0,1.0,0.0
430,5.0,143.0,239.0,131.0,116.0,144.0,0.0,1.0,0.0
430,2.0,144.0,241.0,136.0,116.0,138.0,0.0,1.0,0.0
242,43.0,164.0,243.0,136.0,170.0,177.0,76.0,25.0,0.0
242,38.0,156.0,243.0,135.0,161.0,159.0,85.0,16.0,0.0
242,38.0,161.0,243.0,136.0,167.0,171.0,74.0,19.0,0.0
242,37.5,158.0,243.5,134.0,163.0,166.5,104.5,19.5,0.0
242,39.0,160.0,243.0,132.0,168.0,163.0,64.0,27.0,0.0
251,45.5,167.0,243.0,138.0,170.5,168.5,58.0,27.5,0.0
241,37.0,153.0,243.0,132.0,162.0,170.0,64.0,14.0,1.0
252,44.0,172.0,242.0,139.0,172.0,173.0,86.0,32.0,0.0
242,46.0,166.5,243.0,136.5,171.0,172.5,52.5,25.0,0.0
242,31.0,143.0,243.0,135.0,150.0,151.0,101.0,9.0,0.0
232,45.0,127.0,242.0,133.0,141.0,133.0,0.0,10.0,0.0
232,45.0,132.0,242.0,128.0,146.0,134.0,0.0,17.0,0.0
232,43.0,134.0,243.0,130.0,150.0,133.0,0.0,16.0,0.0
232,46.0,124.0,242.0,134.0,145.0,127.0,0.0,18.0,0.0
232,46.0,133.0,242.0,130.0,144.0,135.0,0.0,14.0,0.0
241,41.0,134.0,245.0,130.0,150.0,133.0,27.0,16.0,0.0
232,43.0,132.0,243.0,131.0,146.0,133.0,4.0,12.0,0.0
262,49.5,130.5,240.0,141.0,151.0,136.0,1.0,29.0,0.0
104,41.5,127.0,242.0,132.0,152.0,140.0,0.0,20.5,0.0
104,38.5,120.5,241.5,139.0,141.5,138.0,0.0,24.5,0.0
